example_id,thread_id,customer_message,sampling_bucket,ai_suggested_intent,ai_suggested_escalation,ai_suggested_reason,human_intent,human_escalation,human_reason,human_label_complete
gold-024,99819,@115830 &amp; @122232 so far 6 days for next day delivery and counting. After 3 text to say it being delivered tomorrow. Result missed dilivery opportunity for Xmas gifts to be delivered. #fail #ruinedChristmas,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-025,487692,"@AmazonHelp hi my name is martin bardini, i placed two orders on your .com website and it now says i have no orders placed. Did it go thru??",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-026,511727,@115830 rubbish delivery service over and over again. And again.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-027,503528,"@115830 hi, an item I ordered has not been delivered to me. It says it was delivered on the 22nd of November. I have emailed the seller to tell them. Please advise on what I have to do so I can get the same item but delivered this time. Thank you :)",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-028,2952165,@115850 Are your call center not working 24/7?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-029,2853738,@amazonhelp why isn't no-rush shipping an option on my account anymore. For any item?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-030,2939171,@115830 I thought the point of a Prime subscription was next day delivery for free. Why are all Prime items now taking two days?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-031,89305,@129773 hey what's going on with #Vikings season 5? There's no #closed captions / #subtitles ?? I thought you guys were good on the #DisabilityDiscriminationAct stuff?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-032,537415,"Shame on us for thinking order fulfillment issues at @115821 last Christmas would be resolved. 3rd order in a row that is way late or altogether ""undeliverable"". Next time use @Walmart",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-033,494874,"@AmazonHelp can you help me out with my echo , apparently not configured correctly for using my #AmazonMusic 
#Amazonecho",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-034,479295,"@AmazonHelp the gift bag you sent me doesn’t fit the item I purchased, and the envelope on the outside saying it has “order and return information inside” only has a blank sticker in it. I need a gift receipt and gift bag as I ordered please.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-035,602330,@AmazonHelp ordered arrived and went to pick it up and someone had already opened it. Nothing inside. What can we do?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-036,558474,@115830 how do I complain about your delivery drivers? On here or is there an email address?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-037,527706,"@AmazonHelp @115830  how can a parcel be out for delivery from my local depot, not arrive, then status be updated to “delivery by 6 December” This is the 3rd time in 30 days! Seriously considering cancelling prime. It used to be next day delivery. Lately it’s been next week!",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-038,2853629,"Thank you @115821 for the great deal on cyber Monday now I can rest easy 
#christmas✅",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-039,2914527,"@115821 @AmazonHelp you guys have these random couriers that are NOT delivering packages, because they don’t want to do the footwork in an mid-rise.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-040,455504,#Amazon needs to improve their packing methods. Everything from $10 gloves to a $ 2500 camera lens gets thrown in a box with an air pillow. That is not acceptable. Get your act together or lose a Prime customer! @115821,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-041,2879495,"Thank you to Chloe at @115821 for providing excellent customer service today. As an Amazon prime member, she made it right when my order didn't arrive on time.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-042,2931337,@AmazonHelp my delivery didn't arrive yesterday so I need to cancel my order but can't on the website or app? Please help,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-043,524898,"@AmazonHelp Hi There - I am experiencing an issue with several orders I made that are coming in one package - I have Prime and have not received my items, two days after the original scheduled delivery date. I have called twice about this issue to no avail. Could I get some help?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-044,566591,@AmazonHelp why does my fire stick just randomly decided to restart.  Tuff to watch football games when this happens thanks,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-045,2880513,@115850 someone is placing orders in my number continuously. I am getting calls 4m ur delivery agents regarding this everyday. But I dnt knw the bastard. Can u pls cl me. Hw can I provide my contact number ?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-046,2907924,"Today’s Lesson in Incompetence: 

My brother called me to say @115821 was charging HIS credit card for MY @26427 membership.  My card was saying invalid so they just charged the next card on the account instead of notifying me for four+ months",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-047,558415,"@115830 I have Amazon prime, is Amazon music a separate account or is this included please ?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-048,554662,@115830 waiting for my parcel to arrive. Should if been here by 8 and it’s not turned up!,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-049,2928360,"Brother @115850 I put a return request on a order like three weeks back. You don't seem to care about it, BUT I WANT MY FUCKING MONEY BACK.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-050,601302,@AmazonHelp Amazon delivered my package to the wrong address.  They replaced the item but now want me to send back the original that I never got.  What do I do?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-051,538566,@115850 I also think it's very strange that I've not received any phone number to call.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-052,483032,its so disgusting getting delivery late and again getting delayed even after the date of delivery @115850,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-053,465800,@115821 if you are going to deliver a package after 830 pm at least ring the door bell.  Thankfully i looked out seen delivery guy in the truck.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-054,2847235,@115830 customer service is absolutely shocking. 32 minutes on the phone trying to change shipping address and still failed to do it. Complete farce!,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-055,519693,@115821 UNLOCK MY ACCOUNT. I DON'T KNOW WHY YOU LOCKED ME OUT. YOU ARE HOLDING MY MONEY HOSTAGE.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-056,563938,@115830 can you please make sure your delivery staff are polite and courteous to their customers! It is never nice to hear that they have been outright rude to your mother! Thanks x,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-057,458952,@223996 @115821 I genuinely don't know what happened here.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-058,2870679,"Amazons customer service is garbage. Just got hung up on after being accused of hacking my own account. Real nice, @115821",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-059,2937488,@115821 @115830  PLEASE tell me who to contact regarding damage to my property from your delivery guys? Your website has absolutely no link to the right place?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-060,2879442,"@AmazonHelp so if a NEXT DAY amazon prime takes 3 days, how is this different from standard free delivery and what am I paying for ??",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-061,2868352,Now have five @115821 packages that were not delivered today. #JeffBezos dude? Fix your stuff..is #AmazonPrime  even real?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-062,2926373,@115821 what has happened to your delivery system? Second order in a row delayed and off in the ozone.  Tracking ID TBA570988779000  - - faster to order from JC Penny! Sucky service twice in a row. Massive Fail.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-063,2891953,"If @115821 could stop sending my packages to the wrong state, that'd be great. This is the third time it's happened in a month.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-064,563014,Im making a new email address and changing every single account detail because @AmazonHelp cant even help me delete an account after months of failed attempts.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-065,526599,I have been constantly asking about GST thing from Amazon India associates but they are not giving a proper reply. Can you please look into this? @115850,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-066,2965346,According to my daughter we have another package from the smile factory @115821 #kidssaythecutestthings #christmaspackages,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-067,73509,@115821 Why there is no translation of the application in Arabic,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-068,448794,@115830 Do not buy this. Deliveries not arriving and customer service do not help,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-069,545813,When you ask for a supervisor at @AmazonHelp and they don't send you to a supervisor because they don't understand the reasoning behind the call.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-070,454515,I marked a package I got from @115821 today for a return and THEY ARE GOING TO CHARGE ME FOR RETURN SHIPPING for the first time ever. What's that about? Holidays? Or new all-the-time policy?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-071,520741,"Yep. No xenoblade for me today. Courier tracking is saying tomorrow now.

Thanks for ruining my birthday plans, Amazon.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-072,485191,Mum ordered 2 Yankee Candles from @115830. Courier threw the box over the garden fence onto concrete and both are shattered. Returns process started.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-073,78737,@AmazonHelp order#113-9333218-4668221 not delivered. I left a message via the return button but no one has contacted me. I would like the order to be delivered please,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-074,582624,Where is the result for #Amazonrechargequiz??  @AmazonHelp #amazonIn,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-075,576475,"@123644 @115821 definitely can’t recommend, this is close to ransom",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-076,2944380,"@115821 I've been charged $4.99 a month for a ""channel"" I never signed up for! I just cancelled it but I want my money back too!",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-077,105248,"@AmazonHelp Hi, my item has been marked as returned/not-delivered by Hermes , can you tell me why please? Cheers C",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-078,592054,@115821 why do I pay money for prime and am being asked to tip the prime now delivery driver? #abandonedCart #googleExpress,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-079,2881255,@115830 spent 3 days asking neighbours if they took in my parcel classed as delivered to resident. Turns out amazon delivery classes behind my bin in the pissing rain as a sentient being. #soaked,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-080,83403,Today makes the FOURTH time @115821  had my 2-day prime packages arriving ok the third day and this is officially a problem.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-081,2969492,"@AmazonHelp Why do I pay for Prime with 2-day shipping, and then order something and it tells me it will be 6 days?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-082,2884204,@AmazonHelp  hello sir I booked a order but you delivered me wrong item,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-083,89123,@115850 I have placed an Order for a camera two days ago and there is no sign of progress yet in shipment/dispatch. Please let me know how can I reach out to seller for update about it ?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-084,2923542,As a longtime @115821 customer (1999) and day one Prime member (2005) after today’s experience and variations of it in the recent past I can  say: SKIP @115821 FOR BIG TICKET ITEMS! You can do better elsewhere.  You guys fucked it up with me today.  You too @AmazonHelp,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-085,517645,"Increadible speed &amp; service by @116090 and @132668 today!  I returned two parcels after 4pm TODAY to a Richmond Hill Canada Post location, and &lt;4 hours later I get return confirmations from #AmazonCanada saying my refund is approved. #MerryChristmas",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-086,2936695,@AmazonHelp I don't like to be a grass but I've had one of your drivers complain about delivering to my house too often.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-087,2816321,@AmazonHelp I can’t use my MasterCard gift card to reload my amazon account. I don’t know what I am doing wrong. It’s a fully loaded $50.00 gift card.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-088,502436,tbh @115821 prime is useless until they handle their own shipping and can actually what I ordered to me in two days.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-089,468861,"@115850 @AmazonHelp Who is the winner for the #OnePlus5TAppQuiz ? Publish the winner list,waiting for your update.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-090,579828,@AmazonHelp Im instructing your delivery guys to leave my parcels in a safe place behind our house and they are taking to neighbours on the street. I’m 8 months preganant and fetching Parcels from neighbours is not easy!! What can I do to make them read the delivery instruction?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-091,546475,@115851 my time is valuable and prime business is less than satisfactory. I have more problems dealing with your shipping than I should. Cancelling prime. @115821,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-092,511711,@AmazonHelp i cancelled an order over 10 days ago but still havent got a refund. How long does it take?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-093,575332,"@AmazonHelp i cant sign my account, it says ""Account Locked"". Can you help me?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-094,2969444,@28989 @115821 Update for the two people that care: it was not delivered!!,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-095,2852189,@115830 how do I return a parcel that has been delivered to my address but the person no longer lives here?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-096,2917253,@115821 you guys treat prime customers like shit and then you expect us to return a item we get refunded except we never get the item and your idiot workers can't even find a trace of the order you people are the shittest company in the world,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-097,2969471,Been on the phone with @116090 for over 20 minutes and not only am I not getting my order but they are also “having trouble” cancelling my order. NICE EH,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-098,2937452,"Pathetic customer care service from @115850 ! Absolutely pathetic! I have to rethink for next buy from this website. I m worried, if my product has been compromised! Seems @118702 is better. Min they share runner’s no.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-099,2845438,"@AmazonHelp why are all my orders shipped by ""AMZL US"" late?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-100,2901062,@AmazonHelp takes 2 hours to send verification code which expires in 10 minutes. #frustrated,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-101,2919943,@AmazonHelp so why would amazon cancel my order when all I asked for was an update because it wasn’t in. Now you want me to pay an extra 60 bucks to reorder my items because the sales over? #baitandswitch,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-102,508059,These fuccin CLOWN @115821 divers that are non-UPS/USPS/FedEx SUCK FUCCIN DICK. Pulls up bumping loud music and delivers my package across the street.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-103,2965248,"How do you screw up a delivery to my place @115821?  My house number is in 5 different places on my property, including huge numbers on the house itself.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-104,2862038,"I’d really love to know why @115821 took my wife’s money, then said she didn’t have enough money to complete the order, when she originally did until they took her money.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-105,102953,"Please stop purchasing mobile from amazon. Now days, they are not returning the mobile. They are giving only replace option. I have purchased the wrong mobile. Now they are not returning @115821 @AmazonHelp",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-106,478565,@AmazonHelp @115830 further to yesterday’s debacle regarding my parcels today they have disappeared altogether &amp; the depot can’t be reached! #joke #poorcustomerservice,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-107,103066,@AmazonHelp Why is it so hard to communicate with the customer service representative? They do not  don’t understand what I am saying. Is there a language barrier here? I never had such horrible customer service in my life!,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-108,525580,"@115850, would hve been convenient if u could tell the value of Amazon Pantry box instead of just the no. of items. Would hve helped to check if amt is above that 599 limit, especially when the total order also has non pantry items.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-109,468183,@115821 been on the phone for over an hour.  Told me package would be delivered today. Out for delivery and then it came back as held by carrier! What is going on @115821 #EpicFail,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-110,96746,S/o to  @115821 and their TERRIBLE customer service for making my WEDDING a bit more stressful. There is NO point of being a prime member,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-111,539701,Hi @115830 I sent a DM to @AmazonHelp five days ago &amp; still no reply to my question. I totally understand that it’s the festive season &amp; there are way more important things going on in the world but any chance I can get an answer or at least pointed in the right direction ?,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-112,549543,"This @115821 logistics shipping is crap. Delayed shipment, absolutely no updates, yet it's still expected today. So disappointing.",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-113,602332,@116439 is there an issue with the NFL Sunday Ticket app? I was watching games and its stop (like froze).,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-114,65877,@115850 Why the hell your expected delivery time and actual delivery time vary so much?  It was showing delivery by 2nd dec and im getting call to collect it today only,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-115,2876316,@AmazonHelp network down? Says Home is currently unavailable and csnt connect. Internet is fine and dandy though,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-116,2945417,"@116090 @AmazonHelp So if this last attempt (again, a week after I tried ""same day shipping"" which is possibly the worst mistake I have made, ever) doesn't work, I guess I just have to take my, and my offices, custom elsewhere? Shipping is supposed to be what @116090 *does*!",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-117,2863411,"@AmazonHelp hi, I have accidentally purchased a kindle book (missclick), can I somehow cancel the order?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-118,539780,"@115830 - I have officially had the WORST customer experience ever from you guys, so disappointed",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-119,601336,@AmazonHelp Can see you've replied to others who tweeted after me. I'm a v unhappy Prime customer. Onus on me to go out of my way to return item when wrong item was sent.,common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-120,2850594,"@115830  I received a parcel today but when I opened it, it was empty. Do I really have to take an empty box to an Amazon locker? Or can I get the item somehow?",common,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-121,2953659,your service is useless @AmazonHelp,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-122,510355,Sigh 😞 thanks @115821 https://t.co/wO8KiuxItb,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-123,545735,Amazon messed up my order...,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-124,2843700,@AmazonHelp great packaging here... https://t.co/gqIwyqOgZq,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-125,105195,"@115850 need help, anyone avl??",ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-126,485300,@115821 wtf is going on?,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-127,454629,"#PagoConAmazonCash
¡GRACIAS!: @116875",ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-128,569114,I love the @115821 firestick!!,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-129,453303,Great. Thanks @115821 https://t.co/GYDSNGks9P,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-130,2869638,@115821 sucks balls. #cyberdealsmyass,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-131,498532,Eccoloooo😍 #Kindle @115821 @117634 https://t.co/JKBiHowgZU,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
gold-132,465865,@116313 買ってしまった！！,ambiguous_or_short,PENDING_APPROVED_TAXONOMY,PENDING_POLICY_REVIEW,,,,,False
